datetime	caudal
2016-01-18	0.81
2016-01-19	0.82
2016-01-20	0.94
2016-01-21	1.09
2016-01-22	1.06
2016-01-23	1.15
2016-01-24	0.93
2016-01-25	0.83
2016-01-26	0.81
2016-01-27	0.78
2016-01-28	0.77
2016-01-29	0.76
2016-01-30	0.76
2016-01-31	0.82
2016-02-01	0.82
2016-02-02	0.78
2016-02-03	0.91
2016-02-04	1.02
2016-02-05	0.85
2016-02-06	0.80
2016-02-07	1.03
2016-02-08	1.31
2016-02-12	1.77
2016-02-13	1.42
2016-02-14	1.16
2016-02-15	1.64
2016-02-16	1.63
2016-02-17	1.52
2016-02-18	1.31
2016-02-19	1.21
2016-02-20	1.31
2016-02-21	1.16
2016-02-22	1.15
2016-02-23	1.16
2016-02-24	1.25
2016-02-25	1.29
2016-02-26	1.04
2016-02-27	0.99
2016-02-28	0.93
2016-02-29	1.04
2016-03-01	1.08
2016-03-02	1.15
2016-03-03	1.02
2016-03-04	1.00
2016-03-05	1.35
2016-03-06	1.15
2016-03-07	1.91
2016-03-08	1.44
2016-03-09	1.16
2016-03-10	1.22
2016-03-11	1.12
2016-03-12	0.99
2016-03-13	1.03
2016-03-14	1.13
2016-03-15	1.12
2016-03-22	1.79
2016-03-23	1.48
2016-03-24	1.41
2016-03-25	1.41
2016-03-26	1.34
2016-03-27	1.54
2016-03-28	1.26
2016-03-29	1.19
2016-03-30	1.22
2016-03-31	1.26
2016-04-01	1.42
2016-04-02	1.37
2016-04-04	1.42
2016-04-06	1.48
2016-04-07	1.86
2016-04-08	1.69
2016-04-11	1.51
2016-04-12	1.39
2016-04-13	1.37
2016-04-14	1.30
2016-04-15	1.70
2016-04-16	1.48
2016-04-20	1.83
2016-04-21	1.65
2016-04-22	1.74
2016-04-24	1.52
2016-04-25	1.31
2016-04-26	1.26
2016-04-27	1.25
2016-04-29	1.59
2016-04-30	1.30
2016-05-01	1.30
2016-05-02	1.21
2016-05-03	1.20
2016-05-04	1.16
2016-05-05	1.65
2016-05-06	1.72
2016-05-07	1.46
2016-05-08	1.30
2016-05-09	1.35
2016-05-10	1.34
2016-05-11	1.16
2016-05-12	1.43
2016-05-13	1.70
2016-05-15	1.78
2016-05-18	1.73
2016-05-19	1.38
2016-05-20	1.86
2016-05-21	1.61
2016-05-22	1.89
2016-05-26	1.70
2016-05-27	1.42
2016-05-28	1.31
2016-05-29	1.86
2016-05-30	1.48
2016-05-31	1.28
2016-06-01	1.24
2016-06-02	1.29
2016-06-03	1.42
2016-06-04	1.39
2016-06-05	1.25
2016-06-06	1.65
2016-06-07	1.35
2016-06-08	1.35
2016-06-09	1.33
2016-06-10	1.41
2016-06-11	1.42
2016-06-14	1.83
2016-06-15	1.48
2016-06-16	1.52
2016-06-25	1.90
2016-06-26	1.76
2016-06-27	1.78
2016-06-30	1.87
2016-07-01	1.59
2016-07-02	1.47
2016-07-03	1.50
2016-07-04	1.41
2016-07-05	1.31
2016-07-06	1.30
2016-07-07	1.81
2016-07-09	1.78
2016-07-11	1.74
2016-07-12	1.52
2016-07-13	1.41
2016-07-14	1.64
2016-07-15	1.50
2016-07-16	1.30
2016-07-17	1.47
2016-07-19	1.61
2016-07-21	1.59
2016-07-22	1.34
2016-07-23	1.28
2016-07-24	1.22
2016-07-25	1.19
2016-07-26	1.29
2016-07-27	1.90
2016-08-01	1.85
2016-08-02	1.48
2016-08-03	1.57
2016-08-04	1.57
2016-08-05	1.38
2016-08-06	1.28
2016-08-07	1.43
2016-08-08	1.74
2016-08-09	1.52
2016-08-10	1.39
2016-08-12	1.87
2016-08-13	1.39
2016-08-14	1.24
2016-08-15	1.19
2016-08-16	1.35
2016-08-17	1.41
2016-08-18	1.76
2016-08-19	1.46
2016-08-20	1.29
2016-08-21	1.17
2016-08-23	1.70
2016-08-24	1.31
2016-08-25	1.20
2016-08-26	1.15
2016-08-27	1.16
2016-08-28	1.11
2016-08-29	1.07
2016-08-30	1.04
2016-08-31	1.03
2016-09-01	1.21
2016-09-02	1.15
2016-09-03	1.09
2016-09-04	1.07
2016-09-05	1.09
2016-09-06	1.30
2016-09-07	1.09
2016-09-08	1.02
2016-09-09	0.98
2016-09-10	1.11
2016-09-11	1.29
2016-09-12	1.15
2016-09-13	1.04
2016-09-14	0.98
2016-09-15	1.12
2016-09-16	1.04
2016-09-17	1.00
2016-09-18	1.28
2016-09-19	1.22
2016-09-20	1.69
2016-09-21	1.30
2016-09-22	1.08
2016-09-23	1.08
2016-09-24	1.42
2016-09-25	1.41
2016-09-26	1.34
2016-09-27	1.13
2016-09-28	1.39
2016-09-29	1.30
2016-09-30	1.08
2016-10-01	1.03
2016-10-02	1.06
2016-10-03	1.00
2016-10-04	1.21
2016-10-05	1.38
2016-10-06	1.38
2016-10-07	1.41
2016-10-08	1.25
2016-10-09	1.07
2016-10-10	1.11
2016-10-11	1.48
2016-10-12	1.21
2016-10-13	1.08
2016-10-14	1.06
2016-10-15	0.99
2016-10-16	0.98
2016-10-17	0.94
2016-10-18	0.94
2016-10-19	1.03
2016-10-20	0.93
2016-10-21	0.90
2016-10-22	0.93
2016-10-23	0.91
2016-10-24	0.89
2016-10-25	0.89
2016-10-26	0.86
2016-10-27	0.83
2016-10-28	0.82
2016-10-29	0.94
2016-10-30	0.87
2016-10-31	0.82
2016-11-01	0.81
2016-11-02	0.81
2016-11-03	0.81
2016-11-04	0.85
2016-11-05	1.47
2016-11-06	1.73
2016-11-07	1.13
2016-11-08	0.94
2016-11-09	0.87
2016-11-10	0.89
2016-11-11	1.15
2016-11-12	1.24
2016-11-13	0.96
2016-11-14	0.87
2016-11-15	0.83
2016-11-16	0.81
2016-11-17	0.77
2016-11-18	0.77
2016-11-19	0.76
2016-11-20	0.74
2016-11-21	0.73
2016-11-22	0.73
2016-11-23	0.73
2016-11-24	0.74
2016-11-25	0.74
2016-11-26	0.89
2016-11-27	0.94
2016-11-28	0.91
2016-11-29	1.07
2016-11-30	1.55
2016-12-01	1.34
2016-12-02	1.13
2016-12-03	1.08
2016-12-04	1.00
2016-12-05	0.87
2016-12-06	0.82
2016-12-07	0.82
2016-12-08	0.83
2016-12-09	0.82
2016-12-10	0.85
2016-12-11	0.83
2016-12-12	0.82
2016-12-13	0.78
2016-12-14	0.76
2016-12-15	0.90
2016-12-16	1.08
2016-12-17	1.21
2016-12-18	0.89
2016-12-19	0.87
2016-12-20	0.93
2016-12-21	0.83
2016-12-22	0.81
2016-12-23	0.82
2016-12-24	0.86
2016-12-25	0.85
2016-12-26	0.80
2016-12-27	0.83
2016-12-28	0.98
2016-12-29	0.98
2016-12-30	0.94
2016-12-31	0.98
2017-01-01	0.86
2017-01-02	1.13
2017-01-03	1.11
2017-01-04	0.86
2017-01-05	0.81
2017-01-06	1.29
2017-01-07	1.25
2017-01-08	1.16
2017-01-09	0.98
2017-01-10	1.26
2017-01-11	1.44
2017-01-12	1.20
2017-01-13	1.15
2017-01-14	1.17
2017-01-15	1.73
2017-01-16	1.34
2017-01-17	1.08
2017-01-18	0.96
2017-01-19	0.89
2017-01-20	0.86
2017-01-21	0.90
2017-01-22	0.87
2017-01-23	0.93
2017-01-24	0.86
2017-01-25	0.82
2017-01-26	0.81
2017-01-27	0.86
2017-01-30	1.79
2017-01-31	1.38
2017-02-01	1.13
2017-02-02	1.06
2017-02-03	1.03
2017-02-04	1.07
2017-02-05	1.07
2017-02-06	1.12
